GenName	ExpressionLevel
GENE.736	2.01080891587997e-05
GENE.737	2.00825280284971e-05
GENE.738	5.33375585310206e-06
GENE.739	4.95885927559794e-06
GENE.740	6.05031953883998e-05
GENE.741	0.0
GENE.742	0.0
GENE.743	0.0
GENE.744	0.0
GENE.745	0.0
GENE.746	0.0
GENE.747	8.52037670279193e-09
GENE.748	8.52037679993645e-09
GENE.749	2.39337383249986e-05
GENE.750	2.37377696594987e-05
GENE.751	1.02244521103106e-07
GENE.752	2.92504534246986e-05
GENE.753	8.52037669932248e-09
GENE.754	5.96426374017966e-08
GENE.755	9.67914800180034e-06
GENE.756	8.84670719218973e-05
GENE.757	1.66147346870177e-06
GENE.758	1.3649643572998e-05
GENE.759	1.87448288800629e-07
GENE.760	1.87448288800629e-07
GENE.761	0.0
GENE.762	0.0
GENE.763	4.19713759305003e-05
GENE.764	4.19713759306009e-05
GENE.765	0.0
GENE.766	0.0
GENE.767	0.0
GENE.768	2.64983717309861e-06
GENE.769	2.9523105480999e-05
GENE.770	1.96820703210129e-06
GENE.771	2.63705660790009e-05
GENE.772	3.40815069985179e-08
GENE.773	0.000339707421508902
GENE.774	0.000185275592693997
GENE.775	0.000185258551940501
GENE.776	0.000185275592694101
GENE.777	0.000185275592693997
GENE.778	1.1928527467106e-05
GENE.779	0.000142716310766795
GENE.780	4.89921663830023e-06
GENE.781	1.46294869007024e-05
GENE.782	5.19146556120023e-05
GENE.783	1.77223836653959e-05
GENE.784	8.71634542769922e-06
GENE.785	1.90600828171017e-05
GENE.786	8.06027641699764e-06
GENE.787	2.30050172606022e-07
GENE.788	1.02244521099637e-07
GENE.789	5.11222605983908e-08
GENE.790	8.52037679993645e-09
GENE.791	5.11222605983908e-08
GENE.792	0.0
GENE.793	2.07811989230006e-05
GENE.794	9.20200690299189e-07
GENE.795	7.66833908039111e-08
GENE.796	0.0
GENE.797	0.0
GENE.798	0.0
GENE.799	0.0
GENE.800	0.0
GENE.801	0.0
GENE.802	1.18007218156968e-05
GENE.803	6.51808822309946e-06
GENE.804	4.7117683494996e-06
GENE.805	0.0013153161219109
GENE.806	8.17956169199552e-07
GENE.807	1.27805651499446e-07
GENE.808	0.0
GENE.809	0.0
GENE.810	0.0
GENE.811	0.0
GENE.812	8.52037670279193e-09
GENE.813	1.4586885016897e-05
GENE.814	1.45783646400971e-05
GENE.815	9.55986272720144e-06
GENE.816	1.67084588306998e-05
GENE.817	1.67084588306998e-05
GENE.818	3.74896577536032e-05
GENE.819	1.86681454859977e-05
GENE.820	2.00995687820033e-05
GENE.821	5.96426373983272e-08
GENE.822	1.70748350313971e-05
GENE.823	3.71829241903043e-05
GENE.824	2.79468357800017e-06
GENE.825	3.63053253836995e-05
GENE.826	4.64701348609972e-05
GENE.827	4.26018837984543e-08
GENE.828	0.0
GENE.829	0.0
GENE.830	0.0
GENE.831	0.0
GENE.832	0.0
GENE.833	0.0
GENE.834	8.52037679993645e-09
GENE.835	8.52037679993645e-09
GENE.836	1.87448288703485e-07
GENE.837	5.96426373983272e-08
GENE.838	5.96426373011827e-08
GENE.839	3.40815071026013e-08
GENE.840	2.55611301985814e-08
GENE.841	4.20906612060012e-06
GENE.842	1.16899569177001e-05
GENE.843	0.0
GENE.844	2.95657073649813e-06
GENE.845	2.83558138646015e-05
GENE.846	3.40815069985179e-08
